model,rps,log_loss,brier_score,outcome_accuracy,mean_draw_prob,actual_draw_rate,refits,train_matches,test_matches
elo_poisson,0.16693187473742957,0.8665234231467609,0.5091736227435262,0.6066565809379728,0.21646593142683,0.2367624810892587,,46861,2644
dixon_coles,0.16228766321473653,0.8481737302022501,0.4967952016392174,0.607034795763994,0.23035320509434257,0.2367624810892587,26.0,46861,2644
