date,home_team,away_team,actual_score,actual_outcome,predicted_outcome,outcome_hit,home_win_prob,draw_prob,away_win_prob,actual_outcome_prob,most_likely_score,score_hit,actual_score_prob,expected_home_goals,expected_away_goals
2026-06-13,Qatar,Switzerland,1-1,draw,away_win,False,0.08053045803254674,0.16988793723813495,0.7495816047293185,0.16988793723813495,0-2,False,0.07842365019060742,0.5609378665154233,2.1908599197700838
2026-06-13,Brazil,Morocco,1-1,draw,home_win,False,0.44503634603697834,0.28224152792718066,0.272722126035841,0.28224152792718066,1-0,False,0.13028830189631163,1.2956322320202598,0.9485224733207823
2026-06-13,Haiti,Scotland,0-1,away_win,away_win,True,0.2347238659578349,0.27261534854656627,0.4926607854955989,0.4926607854955989,0-1,True,0.14364763671772093,0.8760649944907452,1.4027912277722736
2026-06-13,Australia,Turkey,2-0,home_win,away_win,False,0.2865859136025818,0.2847156473425483,0.42869843905486993,0.2865859136025818,0-1,False,0.050840324626952677,0.9750702750445176,1.2603566334476501
2026-06-14,Germany,Curaçao,7-1,home_win,home_win,True,0.7656845030529923,0.1610089216100796,0.07330657533692783,0.7656845030529923,2-0,False,0.0019767107731837354,2.2622462094451627,0.5432371967732861
2026-06-14,Ivory Coast,Ecuador,1-0,home_win,away_win,False,0.16087228716041263,0.2392864071587413,0.5998413056808459,0.16087228716041263,0-1,False,0.06590635897156225,0.7332535091059761,1.6760046477355026
2026-06-14,Netherlands,Japan,2-2,draw,home_win,False,0.37578341903166745,0.28952907762338304,0.33468750334494934,0.28952907762338304,1-1,False,0.04106256490571761,1.1503074726852318,1.0683546081476831
2026-06-14,Sweden,Tunisia,5-1,home_win,away_win,False,0.34696416808122404,0.289899855988856,0.36313597592992,0.34696416808122404,1-1,False,0.001589115826323942,1.0925745311612562,1.1248077400484455
2026-06-15,Belgium,Egypt,1-1,draw,home_win,False,0.5404905045174678,0.25961466198098093,0.19989483350155124,0.25961466198098093,1-0,False,0.11984329062169001,1.5183084123271604,0.8094114998324695
2026-06-15,Iran,New Zealand,2-2,draw,home_win,False,0.5252714260882771,0.2640939723577281,0.21063460155399477,0.2640939723577281,1-0,False,0.03745522201142877,1.4805712894730556,0.8300419560799186
