bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency
0.0,0.1,892,0.055105838572029144,0.042600896860986545
0.1,0.2,1337,0.15361091364032478,0.13612565445026178
0.2,0.30000000000000004,2442,0.25465210175134856,0.26986076986076984
0.30000000000000004,0.4,683,0.3477610894565411,0.3411420204978038
0.4,0.5,620,0.447103103200262,0.44516129032258067
0.5,0.6000000000000001,507,0.5462701820935753,0.5305719921104537
0.6000000000000001,0.7000000000000001,417,0.6473645964924962,0.6594724220623501
0.7000000000000001,0.8,356,0.7483020921871263,0.7415730337078652
0.8,0.9,259,0.848215623462312,0.8918918918918919
0.9,1.0,131,0.9457191568144504,0.9236641221374046
